periodo,fecha,hora,autopista,banda_y_o_ramal,pk,condiciones_meteorologicas,superficie_de_la_via,lesionados,fallecidos,tipo_de_siniestro,moto,liviano,bus,camion,B_Fallecidos,B_Lesionados,moto_o_liviano_involucrado,camion_o_bus_involucrado
201402,2/13/2014,7,AU PERTIO MORENO,DESCENDENTE,3200,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,2/13/2014,9,AU 25 DE MAYO,ASCENDENTE,8200,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,1,0,0,1,1,1
201402,2/13/2014,16,AU 25 DE MAYO,DESCENDENTE,5900,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,2/13/2014,19,AU ILLIA,ASCENDENTE,1700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,2/13/2014,23,AU FRONDIZI,DESCENDENTE,1000,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/14/2014,17,AV CANTILO,ASCENDENTE,9100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,2/15/2014,6,AU PERTIO MORENO,DESCENDENTE,1600,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/15/2014,8,AU DELLEPIANE,DESCENDENTE,RAMPA ACCESO,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,0,1,0,0,0,0,1,0
201402,2/15/2014,17,AU PERTIO MORENO,DESCENDENTE,5600,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,2/16/2014,7,AV LUGONES,DESCENDENTE,6900,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,0,1,0,0,0,0,1,0
201402,2/17/2014,1,AU FRONDIZI,ASCENDENTE,800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/17/2014,7,AV LUGONES,DESCENDENTE,5000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/17/2014,9,AU 25 DE MAYO,ASCENDENTE,1100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,0,1,0
201402,2/17/2014,20,AU PERTIO MORENO,DESCENDENTE,5300,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201402,2/18/2014,8,AV LUGONES,DESCENDENTE,9600,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
